QUERY_KEY,DOC_KEY,SCORE,RANK
5,NORMA-20240,1,13
5,NORMA-14749,1,14
5,NORMA-14504,1,15
5,NORMA-25902,0,16
5,NORMA-25082,0,17
5,NORMA-15249,0,18
6,NORMA-20223,2,1
6,NORMA-19629,2,2
6,NORMA-8028,2,3
6,NORMA-27365,2,4
6,NORMA-27364,2,5
6,NORMA-15229,2,6
6,NORMA-14688,2,7
6,NORMA-6881,2,8
6,NORMA-20137,2,9
6,NORMA-14967,2,10
6,NORMA-26201,1,11
6,NORMA-22721,1,12
6,NORMA-21718,0,13
6,NORMA-21539,0,14
6,NORMA-21437,0,15
6,NORMA-20794,0,16
6,NORMA-20430,0,17
6,NORMA-20427,0,18
6,NORMA-6826,0,19
6,NORMA-2603,0,20
7,NORMA-21402,2,1
7,NORMA-18994,2,2
7,NORMA-21711,2,3
7,NORMA-19514,2,4
7,NORMA-18756,2,5
7,NORMA-21703,1,6
7,NORMA-21280,1,7
7,NORMA-19000,1,8
7,NORMA-18996,1,9
7,NORMA-18754,1,10
7,NORMA-20129,1,11
7,NORMA-21761,1,12
7,NORMA-21709,1,13
7,NORMA-21701,1,14
7,NORMA-21635,1,15
7,NORMA-21536,1,16
7,NORMA-21509,1,17
7,NORMA-21423,1,18
7,NORMA-19374,1,19
7,NORMA-19267,1,20
8,NORMA-27101,2,1
8,NORMA-21705,2,2
8,NORMA-21437,2,3
8,NORMA-20397,2,4
8,NORMA-20989,2,5
8,NORMA-18430,2,6
8,NORMA-21537,2,7
8,NORMA-21524,2,8
8,NORMA-21523,2,9
8,NORMA-21272,2,10
8,NORMA-20189,2,11
8,NORMA-7110,2,12
8,NORMA-18958,2,13
8,NORMA-21444,1,14
8,NORMA-21369,1,15
8,NORMA-24961,0,16
8,NORMA-818,0,17
8,NORMA-25542,0,18
8,NORMA-21586,0,19
9,NORMA-20302,2,1
9,NORMA-18748,2,2
9,NORMA-3966,2,3
9,NORMA-25101,1,4
9,NORMA-5913,1,5
9,NORMA-9959,1,6
9,NORMA-27364,1,7
9,NORMA-13789,1,8
9,NORMA-12733,1,9
9,NORMA-21762,1,10
9,NORMA-19123,1,11
9,NORMA-13746,1,12
9,NORMA-22661,1,13
9,NORMA-13308,1,14
9,NORMA-25082,0,15
9,NORMA-15253,0,16
9,NORMA-14055,0,17
9,NORMA-11904,0,18
9,NORMA-9960,0,19
9,NORMA-6332,0,20
10,NORMA-21638,2,1
10,NORMA-23361,2,2
10,NORMA-21649,2,3
10,NORMA-20790,2,4
10,NORMA-21711,2,5
10,NORMA-27221,2,6
10,NORMA-21706,1,7
10,NORMA-21700,1,8
10,NORMA-13848,1,9
10,NORMA-22862,1,10
10,NORMA-21703,1,11
10,NORMA-16424,1,12
10,NORMA-13610,1,13
10,NORMA-6176,1,14
10,NORMA-13795,1,15
10,NORMA-21709,1,16
10,NORMA-21478,0,17
10,NORMA-21475,0,18
10,NORMA-19467,0,19
10,NORMA-20777,0,20
11,NORMA-20205,2,1
11,NORMA-18654,1,2
11,NORMA-27101,1,3
11,NORMA-25902,1,4
11,NORMA-24961,0,5
11,NORMA-27501,0,6
11,NORMA-2649,0,7
11,NORMA-2603,0,8
11,NORMA-962,0,9
13,NORMA-19105,2,1
13,NORMA-20201,2,2
13,NORMA-20199,2,3
13,NORMA-21729,2,4
13,NORMA-9724,2,5
13,NORMA-8435,2,6
13,NORMA-3281,2,7
13,NORMA-1620,2,8
13,NORMA-7386,1,9
13,NORMA-6783,1,10
13,NORMA-19574,1,11
13,NORMA-20490,1,12
13,NORMA-18958,1,13
13,NORMA-2011,1,14
13,NORMA-12729,0,15
13,NORMA-6514,0,16
13,NORMA-5433,0,17
13,NORMA-4138,0,18
13,NORMA-3978,0,19
13,NORMA-3925,0,20
14,NORMA-19629,2,1
14,NORMA-20893,2,2
14,NORMA-21666,1,3
14,NORMA-20817,1,4
14,NORMA-20713,1,5
14,NORMA-21562,1,6
14,NORMA-21241,1,7
14,NORMA-19081,1,8
14,NORMA-9724,1,9
14,NORMA-6783,1,10
14,NORMA-24961,0,11
14,NORMA-21367,0,12
14,NORMA-10562,0,13
14,NORMA-10443,0,14
14,NORMA-9030,0,15
14,NORMA-5463,0,16
14,NORMA-5195,0,17
14,NORMA-5001,0,18
14,NORMA-4824,0,19
14,NORMA-4315,0,20
15,NORMA-21717,2,1
15,NORMA-21617,2,2
15,NORMA-4318,2,3
15,NORMA-6448,2,4
15,NORMA-27045,1,5
15,NORMA-21279,1,6
15,NORMA-15239,1,7
15,NORMA-21564,0,8
15,NORMA-21535,0,9
15,NORMA-21312,0,10
15,NORMA-19225,0,11
15,NORMA-18730,0,12
15,NORMA-15253,0,13
15,NORMA-6555,0,14
16,NORMA-23361,2,1
16,NORMA-21638,2,2
16,NORMA-21649,2,3
16,NORMA-6176,2,4
16,NORMA-21344,2,5
16,NORMA-21409,2,6
16,NORMA-22862,1,7
16,NORMA-16424,1,8
16,NORMA-13795,1,9
16,NORMA-13610,1,10
16,NORMA-23101,1,11
16,NORMA-14951,1,12
16,NORMA-21413,1,13
16,NORMA-21586,1,14
16,NORMA-13402,1,15
16,NORMA-27362,1,16
16,NORMA-16403,1,17
17,NORMA-27449,2,1
17,NORMA-27063,2,2
17,NORMA-21564,2,3
17,NORMA-14652,2,4
17,NORMA-12631,2,5
17,NORMA-19281,1,6
17,NORMA-21191,1,7
17,NORMA-19913,1,8
17,NORMA-13995,1,9
17,NORMA-14390,0,10
18,NORMA-20718,2,1
18,NORMA-25122,1,2
18,NORMA-19702,1,3
18,NORMA-21795,0,4
18,NORMA-21687,0,5
18,NORMA-21636,0,6
18,NORMA-21601,0,7
18,NORMA-21576,0,8
18,NORMA-21353,0,9
18,NORMA-19788,0,10
18,NORMA-19670,0,11
18,NORMA-19660,0,12
18,NORMA-19654,0,13
18,NORMA-19277,0,14
18,NORMA-19151,0,15
18,NORMA-18982,0,16
18,NORMA-18874,0,17
18,NORMA-18703,0,18
18,NORMA-18373,0,19
18,NORMA-18369,0,20
19,NORMA-24941,2,1
19,NORMA-23341,1,2
19,NORMA-21761,1,3
19,NORMA-24061,1,4
19,NORMA-22981,1,5
19,NORMA-21738,1,6
19,NORMA-21724,1,7
19,NORMA-21578,1,8
19,NORMA-20645,1,9
19,NORMA-20262,1,10
19,NORMA-25161,0,11
19,NORMA-23841,0,12
19,NORMA-23621,0,13
19,NORMA-23081,0,14
19,NORMA-21793,0,15
19,NORMA-21743,0,16
19,NORMA-21710,0,17
19,NORMA-21666,0,18
19,NORMA-21536,0,19
19,NORMA-18650,0,20
20,NORMA-21575,2,1
20,NORMA-21651,2,2
20,NORMA-8435,2,3
20,NORMA-21666,1,4
20,NORMA-21420,1,5
20,NORMA-27364,1,6
20,NORMA-25841,1,7
20,NORMA-25524,1,8
20,NORMA-25205,1,9
20,NORMA-25204,1,10
20,NORMA-25203,1,11
20,NORMA-25141,1,12
20,NORMA-24221,1,13
20,NORMA-23841,1,14
20,NORMA-23621,1,15
20,NORMA-23081,1,16
20,NORMA-22921,1,17
20,NORMA-12415,1,18
20,NORMA-11356,1,19
20,NORMA-9724,1,20
21,NORMA-21676,2,1
21,NORMA-21659,2,2
21,NORMA-21209,2,3
21,NORMA-21367,2,4
21,NORMA-24582,1,5
21,NORMA-21628,1,6
21,NORMA-21351,1,7
21,NORMA-25722,1,8
21,NORMA-21655,1,9
21,NORMA-21622,1,10
21,NORMA-21631,1,11
21,NORMA-26841,1,12
21,NORMA-22561,1,13
21,NORMA-21493,0,14
21,NORMA-19690,0,15
21,NORMA-21767,0,16
21,NORMA-19684,0,17
21,NORMA-19565,0,18
21,NORMA-19128,0,19
23,NORMA-21268,2,1
23,NORMA-20796,2,2
23,NORMA-20187,1,3
23,NORMA-18788,1,4
23,NORMA-2120,1,5
23,NORMA-20869,1,6
23,NORMA-20204,1,7
23,NORMA-18818,1,8
23,NORMA-20837,0,9
23,NORMA-20193,0,10
23,NORMA-26102,0,11
23,NORMA-24961,0,12
23,NORMA-21784,0,13
23,NORMA-21729,0,14
23,NORMA-20367,0,15
23,NORMA-20365,0,16
23,NORMA-20324,0,17
23,NORMA-20205,0,18
23,NORMA-20202,0,19
23,NORMA-20198,0,20
24,NORMA-76,2,1
24,NORMA-21626,2,2
24,NORMA-18394,1,3
24,NORMA-2537,1,4
24,NORMA-751,1,5
24,NORMA-736,1,6
24,NORMA-20869,1,7
24,NORMA-21739,1,8
24,NORMA-21308,1,9
24,NORMA-2395,1,10
24,NORMA-1674,1,11
24,NORMA-850,0,12
24,NORMA-25964,0,13
24,NORMA-23441,0,14
25,NORMA-21626,2,1
25,NORMA-21712,2,2
25,NORMA-21739,2,3
25,NORMA-20869,2,4
25,NORMA-3281,2,5
25,NORMA-1674,1,6
25,NORMA-1129,1,7
25,NORMA-21308,1,8
25,NORMA-1776,1,9
25,NORMA-1334,1,10
25,NORMA-850,1,11
25,NORMA-25523,1,12
25,NORMA-22941,1,13
25,NORMA-21756,1,14
25,NORMA-21506,1,15
25,NORMA-2109,1,16
25,NORMA-1694,1,17
25,NORMA-2483,0,18
25,NORMA-1438,0,19
26,NORMA-20073,2,1
26,NORMA-18748,2,2
26,NORMA-3503,2,3
26,NORMA-21131,2,4
26,NORMA-21217,2,5
26,NORMA-23181,1,6
26,NORMA-19441,1,7
26,NORMA-19202,1,8
26,NORMA-19160,1,9
26,NORMA-19136,1,10
26,NORMA-18593,1,11
26,NORMA-18730,0,12
26,NORMA-26886,0,13
26,NORMA-26565,0,14
26,NORMA-26564,0,15
26,NORMA-26421,0,16
26,NORMA-26382,0,17
26,NORMA-23841,0,18
26,NORMA-23081,0,19
26,NORMA-22921,0,20
27,NORMA-20950,2,1
27,NORMA-16481,2,2
27,NORMA-19155,1,3
27,NORMA-16941,1,4
27,NORMA-981,1,5
27,NORMA-60,1,6
27,NORMA-26102,0,7
27,NORMA-3969,0,8
27,NORMA-3690,0,9
28,NORMA-18201,2,1
28,NORMA-19128,2,2
28,NORMA-13545,2,3
28,NORMA-11454,2,4
28,NORMA-13094,2,5
28,NORMA-12245,2,6
28,NORMA-15060,2,7
28,NORMA-21648,1,8
28,NORMA-23222,1,9
28,NORMA-21744,1,10
28,NORMA-20797,1,11
28,NORMA-20135,1,12
28,NORMA-1608,1,13
28,NORMA-1578,1,14
28,NORMA-15901,1,15
28,NORMA-27062,1,16
28,NORMA-25523,0,17
29,NORMA-76,2,1
29,NORMA-2455,2,2
29,NORMA-2623,1,3
29,NORMA-21626,1,4
29,NORMA-1306,1,5
29,NORMA-1776,1,6
29,NORMA-1674,1,7
29,NORMA-20869,1,8
29,NORMA-1332,1,9
29,NORMA-976,1,10
29,NORMA-751,1,11
29,NORMA-2523,1,12
29,NORMA-2490,1,13
29,NORMA-2470,1,14
29,NORMA-2376,1,15
29,NORMA-1398,1,16
29,NORMA-21739,1,17
29,NORMA-850,1,18
29,NORMA-2301,0,19
30,NORMA-19155,2,1
30,NORMA-20870,2,2
30,NORMA-1674,1,3
30,NORMA-26681,1,4
30,NORMA-12228,1,5
30,NORMA-11631,1,6
30,NORMA-2020,0,7
30,NORMA-1398,0,8
31,NORMA-778,2,1
31,NORMA-20796,2,2
31,NORMA-25902,2,3
31,NORMA-2383,2,4
31,NORMA-535,1,5
31,NORMA-21268,1,6
31,NORMA-1026,1,7
31,NORMA-2377,1,8
31,NORMA-658,1,9
31,NORMA-1672,1,10
31,NORMA-2523,0,11
31,NORMA-2583,0,12
31,NORMA-2542,0,13
31,NORMA-2503,0,14
31,NORMA-1945,0,15
31,NORMA-1694,0,16
31,NORMA-578,0,17
32,NORMA-21626,2,1
32,NORMA-1674,2,2
32,NORMA-20869,2,3
32,NORMA-1776,2,4
32,NORMA-1026,2,5
32,NORMA-850,2,6
32,NORMA-21739,2,7
32,NORMA-21308,2,8
32,NORMA-1092,2,9
32,NORMA-24961,2,10
32,NORMA-972,2,11
32,NORMA-21776,2,12
32,NORMA-567,2,13
32,NORMA-578,2,14
32,NORMA-1334,1,15
32,NORMA-2020,1,16
32,NORMA-962,1,17
32,NORMA-2483,1,18
32,NORMA-2503,0,19
33,NORMA-19650,2,1
33,NORMA-21394,2,2
33,NORMA-22101,2,3
33,NORMA-21650,2,4
33,NORMA-21597,2,5
33,NORMA-21508,2,6
33,NORMA-21466,2,7
33,NORMA-21446,2,8
33,NORMA-21407,2,9
33,NORMA-21261,2,10
33,NORMA-19609,2,11
33,NORMA-16202,2,12
33,NORMA-24961,1,13
33,NORMA-26124,1,14
33,NORMA-2649,1,15
33,NORMA-2603,1,16
33,NORMA-2020,1,17
34,NORMA-12379,1,1
34,NORMA-27064,1,2
34,NORMA-27063,1,3
34,NORMA-26804,1,4
34,NORMA-21767,1,5
34,NORMA-14581,1,6
34,NORMA-12371,1,7
34,NORMA-24961,0,8
34,NORMA-11723,0,9
34,NORMA-11718,0,10
34,NORMA-11716,0,11
34,NORMA-11714,0,12
34,NORMA-11663,0,13
34,NORMA-11598,0,14
34,NORMA-11572,0,15
34,NORMA-11562,0,16
34,NORMA-11560,0,17
34,NORMA-7233,0,18
34,NORMA-1674,0,19
35,NORMA-21367,2,1
35,NORMA-18450,2,2
35,NORMA-25645,1,3
35,NORMA-1674,1,4
35,NORMA-1144,1,5
35,NORMA-20590,0,6
35,NORMA-818,0,7
37,NORMA-21661,2,1
37,NORMA-25201,1,2
37,NORMA-21756,1,3
37,NORMA-27022,1,4
37,NORMA-21765,1,5
37,NORMA-21723,1,6
37,NORMA-19574,1,7
37,NORMA-18954,1,8
37,NORMA-24041,0,9
37,NORMA-21757,0,10
37,NORMA-21630,0,11
37,NORMA-21260,0,12
37,NORMA-21242,0,13
37,NORMA-21223,0,14
37,NORMA-21214,0,15
37,NORMA-20098,0,16
37,NORMA-20002,0,17
37,NORMA-19983,0,18
37,NORMA-19978,0,19
37,NORMA-19963,0,20
38,NORMA-21650,2,1
38,NORMA-26124,2,2
38,NORMA-22101,2,3
38,NORMA-21508,2,4
38,NORMA-21446,2,5
38,NORMA-21407,2,6
38,NORMA-19651,2,7
38,NORMA-19596,2,8
38,NORMA-19640,2,9
38,NORMA-19625,2,10
38,NORMA-19608,2,11
38,NORMA-21597,1,12
38,NORMA-21466,1,13
38,NORMA-21261,1,14
38,NORMA-21394,1,15
38,NORMA-19614,1,16
38,NORMA-21260,1,17
38,NORMA-19635,1,18
38,NORMA-19602,1,19
38,NORMA-2649,0,20
40,NORMA-21606,2,1
40,NORMA-21286,2,2
40,NORMA-21776,2,3
40,NORMA-20948,2,4
40,NORMA-18377,2,5
40,NORMA-11474,2,6
40,NORMA-21608,1,7
40,NORMA-27687,1,8
40,NORMA-21626,1,9
40,NORMA-20869,1,10
40,NORMA-19290,1,11
40,NORMA-1092,1,12
40,NORMA-24961,0,13
40,NORMA-21739,0,14
40,NORMA-6170,0,15
40,NORMA-1776,0,16
40,NORMA-1674,0,17
40,NORMA-850,0,18
41,NORMA-1965,2,1
41,NORMA-2496,2,2
41,NORMA-567,1,3
41,NORMA-24961,0,4
41,NORMA-1092,0,5
41,NORMA-3342,0,6
41,NORMA-658,0,7
41,NORMA-15603,0,8
41,NORMA-2483,0,9
41,NORMA-2465,0,10
41,NORMA-1455,0,11
41,NORMA-1438,0,12
41,NORMA-1310,0,13
41,NORMA-1217,0,14
41,NORMA-999,0,15
41,NORMA-515,0,16
41,NORMA-314,0,17
42,NORMA-21674,2,1
42,NORMA-18730,2,2
42,NORMA-22661,2,3
42,NORMA-21774,2,4
42,NORMA-21697,2,5
42,NORMA-25202,2,6
42,NORMA-19225,2,7
42,NORMA-18748,2,8
42,NORMA-21601,2,9
42,NORMA-21534,2,10
42,NORMA-21353,2,11
42,NORMA-21576,2,12
42,NORMA-21448,2,13
42,NORMA-25821,1,14
42,NORMA-18577,1,15
42,NORMA-18999,1,16
42,NORMA-21586,1,17
42,NORMA-19272,1,18
42,NORMA-21499,0,19
43,NORMA-21690,2,1
43,NORMA-19780,2,2
43,NORMA-19565,2,3
43,NORMA-20134,2,4
43,NORMA-19518,2,5
43,NORMA-19729,2,6
43,NORMA-21121,2,7
43,NORMA-21058,2,8
43,NORMA-18332,2,9
43,NORMA-27761,1,10
43,NORMA-21367,1,11
43,NORMA-21150,1,12
43,NORMA-16202,1,13
43,NORMA-21471,0,14
43,NORMA-20283,0,15
43,NORMA-19467,0,16
43,NORMA-18838,0,17
43,NORMA-18639,0,18
43,NORMA-18394,0,19
43,NORMA-18298,0,20
44,NORMA-19518,2,1
44,NORMA-19998,2,2
44,NORMA-21049,2,3
44,NORMA-25041,2,4
44,NORMA-21151,2,5
44,NORMA-27761,2,6
44,NORMA-20640,2,7
44,NORMA-20636,2,8
44,NORMA-20212,2,9
44,NORMA-20221,1,10
44,NORMA-19326,1,11
44,NORMA-19087,1,12
44,NORMA-21676,1,13
44,NORMA-19779,1,14
44,NORMA-20217,1,15
44,NORMA-24661,0,16
44,NORMA-21073,0,17
44,NORMA-20778,0,18
44,NORMA-20302,0,19
44,NORMA-18214,0,20
45,NORMA-21279,2,1
45,NORMA-21616,2,2
45,NORMA-21477,2,3
45,NORMA-21342,2,4
45,NORMA-19535,2,5
45,NORMA-27761,2,6
45,NORMA-27022,2,7
45,NORMA-16202,2,8
45,NORMA-19306,2,9
45,NORMA-19237,2,10
45,NORMA-25682,1,11
45,NORMA-25621,1,12
45,NORMA-21773,1,13
45,NORMA-21623,1,14
45,NORMA-19309,1,15
45,NORMA-20267,1,16
45,NORMA-14786,1,17
45,NORMA-12495,1,18
45,NORMA-19435,1,19
46,NORMA-21406,2,1
46,NORMA-14395,2,2
46,NORMA-14516,2,3
46,NORMA-3121,2,4
46,NORMA-1662,2,5
46,NORMA-2137,2,6
46,NORMA-2135,2,7
46,NORMA-1681,2,8
46,NORMA-323,2,9
46,NORMA-1714,2,10
46,NORMA-1727,2,11
46,NORMA-6711,1,12
46,NORMA-23965,1,13
46,NORMA-16442,1,14
46,NORMA-17801,0,15
46,NORMA-5077,0,16
47,NORMA-28181,2,1
47,NORMA-2069,2,2
47,NORMA-3201,2,3
47,NORMA-3342,2,4
47,NORMA-1945,2,5
47,NORMA-17321,2,6
47,NORMA-15603,1,7
47,NORMA-2563,1,8
47,NORMA-27761,1,9
47,NORMA-25981,1,10
47,NORMA-13160,1,11
47,NORMA-2589,1,12
47,NORMA-2531,1,13
47,NORMA-2503,1,14
47,NORMA-2428,1,15
47,NORMA-1851,1,16
47,NORMA-1662,1,17
47,NORMA-1334,1,18
47,NORMA-972,1,19
48,NORMA-23222,2,1
48,NORMA-21744,2,2
48,NORMA-21721,2,3
48,NORMA-19786,2,4
48,NORMA-13545,2,5
48,NORMA-21648,2,6
48,NORMA-21450,2,7
48,NORMA-20140,2,8
48,NORMA-11454,2,9
48,NORMA-21261,2,10
48,NORMA-21470,2,11
48,NORMA-12872,2,12
48,NORMA-11758,0,13
49,NORMA-1863,2,1
49,NORMA-2144,1,2
49,NORMA-17221,1,3
49,NORMA-1674,1,4
49,NORMA-1334,1,5
49,NORMA-875,1,6
49,NORMA-2496,1,7
49,NORMA-2383,1,8
49,NORMA-1408,1,9
49,NORMA-1398,1,10
49,NORMA-1390,1,11
49,NORMA-1332,1,12
49,NORMA-751,1,13
49,NORMA-736,1,14
49,NORMA-680,1,15
49,NORMA-15603,1,16
49,NORMA-2395,1,17
49,NORMA-2558,0,18
50,NORMA-21267,2,1
50,NORMA-11316,2,2
50,NORMA-818,2,3
50,NORMA-22941,2,4
50,NORMA-1188,1,5
50,NORMA-13138,1,6
50,NORMA-13004,1,7
50,NORMA-21739,1,8
50,NORMA-24582,1,9
50,NORMA-24661,1,10
50,NORMA-972,1,11
50,NORMA-2395,1,12
50,NORMA-1346,0,13
50,NORMA-2531,0,14
50,NORMA-1334,0,15
50,NORMA-24041,0,16
50,NORMA-2503,0,17
50,NORMA-2483,0,18
50,NORMA-2478,0,19
