MODELO,QUERY_KEY,DOC_KEY,RANK
text-embedding-3-large,4,NORMA-21390,32
text-embedding-3-large,4,NORMA-21056,33
text-embedding-3-large,4,NORMA-19240,34
text-embedding-3-large,4,NORMA-18748,35
text-embedding-3-large,4,NORMA-19223,36
text-embedding-3-large,4,NORMA-8018,37
text-embedding-3-large,4,NORMA-6821,38
text-embedding-3-large,4,NORMA-19245,39
text-embedding-3-large,4,NORMA-9401,40
text-embedding-3-large,4,NORMA-18673,41
text-embedding-3-large,4,NORMA-20712,42
text-embedding-3-large,4,NORMA-9206,43
text-embedding-3-large,4,NORMA-20222,44
text-embedding-3-large,4,NORMA-12066,45
text-embedding-3-large,4,NORMA-12165,46
text-embedding-3-large,4,NORMA-26661,47
text-embedding-3-large,4,NORMA-6685,48
text-embedding-3-large,4,NORMA-20073,49
text-embedding-3-large,4,NORMA-29201,50
text-embedding-3-large,5,NORMA-18255,1
text-embedding-3-large,5,NORMA-15246,2
text-embedding-3-large,5,NORMA-5252,3
text-embedding-3-large,5,NORMA-13802,4
text-embedding-3-large,5,NORMA-3942,5
text-embedding-3-large,5,NORMA-10326,6
text-embedding-3-large,5,NORMA-27385,7
text-embedding-3-large,5,NORMA-10749,8
text-embedding-3-large,5,NORMA-21040,9
text-embedding-3-large,5,NORMA-6486,10
text-embedding-3-large,5,NORMA-4993,11
text-embedding-3-large,5,NORMA-18841,12
text-embedding-3-large,5,NORMA-20330,13
text-embedding-3-large,5,NORMA-7392,14
text-embedding-3-large,5,NORMA-20342,15
text-embedding-3-large,5,NORMA-5604,16
text-embedding-3-large,5,NORMA-19199,17
text-embedding-3-large,5,NORMA-18386,18
text-embedding-3-large,5,NORMA-18270,19
text-embedding-3-large,5,NORMA-20519,20
text-embedding-3-large,5,NORMA-18605,21
text-embedding-3-large,5,NORMA-21369,22
text-embedding-3-large,5,NORMA-27549,23
text-embedding-3-large,5,NORMA-28822,24
text-embedding-3-large,5,NORMA-20335,25
text-embedding-3-large,5,NORMA-7923,26
text-embedding-3-large,5,NORMA-28762,27
text-embedding-3-large,5,NORMA-7773,28
text-embedding-3-large,5,NORMA-8198,29
text-embedding-3-large,5,NORMA-4656,30
text-embedding-3-large,5,NORMA-6198,31
text-embedding-3-large,5,NORMA-5073,32
text-embedding-3-large,5,NORMA-21243,33
text-embedding-3-large,5,NORMA-14749,34
text-embedding-3-large,5,NORMA-7506,35
text-embedding-3-large,5,NORMA-5800,36
text-embedding-3-large,5,NORMA-21286,37
text-embedding-3-large,5,NORMA-18776,38
text-embedding-3-large,5,NORMA-19346,39
text-embedding-3-large,5,NORMA-27366,40
text-embedding-3-large,5,NORMA-6170,41
text-embedding-3-large,5,NORMA-6126,42
text-embedding-3-large,5,NORMA-21459,43
text-embedding-3-large,5,NORMA-3880,44
text-embedding-3-large,5,NORMA-5680,45
text-embedding-3-large,5,NORMA-8813,46
text-embedding-3-large,5,NORMA-8195,47
text-embedding-3-large,5,NORMA-22861,48
text-embedding-3-large,5,NORMA-6349,49
text-embedding-3-large,5,NORMA-18435,50
text-embedding-3-large,6,NORMA-20223,1
text-embedding-3-large,6,NORMA-19616,2
text-embedding-3-large,6,NORMA-19590,3
text-embedding-3-large,6,NORMA-19583,4
text-embedding-3-large,6,NORMA-19629,5
text-embedding-3-large,6,NORMA-21065,6
text-embedding-3-large,6,NORMA-7240,7
text-embedding-3-large,6,NORMA-21387,8
text-embedding-3-large,6,NORMA-21328,9
text-embedding-3-large,6,NORMA-5925,10
text-embedding-3-large,6,NORMA-12039,11
text-embedding-3-large,6,NORMA-12165,12
text-embedding-3-large,6,NORMA-29201,13
text-embedding-3-large,6,NORMA-2588,14
text-embedding-3-large,6,NORMA-21664,15
text-embedding-3-large,6,NORMA-2465,16
text-embedding-3-large,6,NORMA-20890,17
text-embedding-3-large,6,NORMA-6088,18
text-embedding-3-large,6,NORMA-4322,19
text-embedding-3-large,6,NORMA-6708,20
text-embedding-3-large,6,NORMA-6198,21
text-embedding-3-large,6,NORMA-20893,22
text-embedding-3-large,6,NORMA-7163,23
text-embedding-3-large,6,NORMA-21196,24
text-embedding-3-large,6,NORMA-30726,25
text-embedding-3-large,6,NORMA-7238,26
text-embedding-3-large,6,NORMA-12102,27
text-embedding-3-large,6,NORMA-20248,28
text-embedding-3-large,6,NORMA-30725,29
text-embedding-3-large,6,NORMA-7319,30
text-embedding-3-large,6,NORMA-6514,31
text-embedding-3-large,6,NORMA-28221,32
text-embedding-3-large,6,NORMA-1572,33
text-embedding-3-large,6,NORMA-30724,34
text-embedding-3-large,6,NORMA-19013,35
text-embedding-3-large,6,NORMA-11920,36
text-embedding-3-large,6,NORMA-18972,37
text-embedding-3-large,6,NORMA-6665,38
text-embedding-3-large,6,NORMA-12048,39
text-embedding-3-large,6,NORMA-20926,40
text-embedding-3-large,6,NORMA-11868,41
text-embedding-3-large,6,NORMA-6447,42
text-embedding-3-large,6,NORMA-20907,43
text-embedding-3-large,6,NORMA-29202,44
text-embedding-3-large,6,NORMA-19346,45
text-embedding-3-large,6,NORMA-21171,46
text-embedding-3-large,6,NORMA-6134,47
text-embedding-3-large,6,NORMA-2035,48
text-embedding-3-large,6,NORMA-2337,49
text-embedding-3-large,6,NORMA-6631,50
text-embedding-3-large,7,NORMA-19982,1
text-embedding-3-large,7,NORMA-18530,2
text-embedding-3-large,7,NORMA-20879,3
text-embedding-3-large,7,NORMA-19194,4
text-embedding-3-large,7,NORMA-18337,5
text-embedding-3-large,7,NORMA-19514,6
text-embedding-3-large,7,NORMA-19321,7
text-embedding-3-large,7,NORMA-18756,8
text-embedding-3-large,7,NORMA-20887,9
text-embedding-3-large,7,NORMA-11737,10
text-embedding-3-large,7,NORMA-20922,11
text-embedding-3-large,7,NORMA-20901,12
text-embedding-3-large,7,NORMA-20676,13
text-embedding-3-large,7,NORMA-19622,14
text-embedding-3-large,7,NORMA-21024,15
text-embedding-3-large,7,NORMA-19954,16
text-embedding-3-large,7,NORMA-19961,17
text-embedding-3-large,7,NORMA-21580,18
text-embedding-3-large,7,NORMA-21779,19
text-embedding-3-large,7,NORMA-21536,20
text-embedding-3-large,7,NORMA-21093,21
text-embedding-3-large,7,NORMA-20112,22
text-embedding-3-large,7,NORMA-20990,23
text-embedding-3-large,7,NORMA-19711,24
text-embedding-3-large,7,NORMA-20694,25
text-embedding-3-large,7,NORMA-27161,26
text-embedding-3-large,7,NORMA-20071,27
text-embedding-3-large,7,NORMA-19922,28
text-embedding-3-large,7,NORMA-19698,29
text-embedding-3-large,7,NORMA-18753,30
text-embedding-3-large,7,NORMA-19323,31
text-embedding-3-large,7,NORMA-21155,32
text-embedding-3-large,7,NORMA-20927,33
text-embedding-3-large,7,NORMA-20599,34
text-embedding-3-large,7,NORMA-19000,35
text-embedding-3-large,7,NORMA-20230,36
text-embedding-3-large,7,NORMA-19971,37
text-embedding-3-large,7,NORMA-18995,38
text-embedding-3-large,7,NORMA-21709,39
text-embedding-3-large,7,NORMA-18519,40
text-embedding-3-large,7,NORMA-20814,41
text-embedding-3-large,7,NORMA-19118,42
text-embedding-3-large,7,NORMA-20169,43
text-embedding-3-large,7,NORMA-18572,44
text-embedding-3-large,7,NORMA-20520,45
text-embedding-3-large,7,NORMA-18944,46
text-embedding-3-large,7,NORMA-18421,47
text-embedding-3-large,7,NORMA-19811,48
text-embedding-3-large,7,NORMA-18490,49
text-embedding-3-large,7,NORMA-19747,50
text-embedding-3-large,8,NORMA-20422,1
text-embedding-3-large,8,NORMA-20602,2
text-embedding-3-large,8,NORMA-18490,3
text-embedding-3-large,8,NORMA-18789,4
text-embedding-3-large,8,NORMA-19365,5
text-embedding-3-large,8,NORMA-19480,6
text-embedding-3-large,8,NORMA-19196,7
text-embedding-3-large,8,NORMA-21524,8
text-embedding-3-large,8,NORMA-19049,9
text-embedding-3-large,8,NORMA-19506,10
text-embedding-3-large,8,NORMA-20316,11
text-embedding-3-large,8,NORMA-18601,12
text-embedding-3-large,8,NORMA-21076,13
text-embedding-3-large,8,NORMA-18873,14
text-embedding-3-large,8,NORMA-20954,15
text-embedding-3-large,8,NORMA-19266,16
text-embedding-3-large,8,NORMA-18854,17
text-embedding-3-large,8,NORMA-21410,18
text-embedding-3-large,8,NORMA-20218,19
text-embedding-3-large,8,NORMA-21039,20
text-embedding-3-large,8,NORMA-20975,21
text-embedding-3-large,8,NORMA-21725,22
text-embedding-3-large,8,NORMA-19714,23
text-embedding-3-large,8,NORMA-18316,24
text-embedding-3-large,8,NORMA-21581,25
text-embedding-3-large,8,NORMA-21619,26
text-embedding-3-large,8,NORMA-21337,27
text-embedding-3-large,8,NORMA-18818,28
text-embedding-3-large,8,NORMA-21572,29
text-embedding-3-large,8,NORMA-19724,30
text-embedding-3-large,8,NORMA-19733,31
text-embedding-3-large,8,NORMA-21415,32
text-embedding-3-large,8,NORMA-18286,33
text-embedding-3-large,8,NORMA-19125,34
text-embedding-3-large,8,NORMA-18958,35
text-embedding-3-large,8,NORMA-19405,36
text-embedding-3-large,8,NORMA-21327,37
text-embedding-3-large,8,NORMA-25541,38
text-embedding-3-large,8,NORMA-19300,39
text-embedding-3-large,8,NORMA-19432,40
text-embedding-3-large,8,NORMA-21053,41
text-embedding-3-large,8,NORMA-21074,42
text-embedding-3-large,8,NORMA-28841,43
text-embedding-3-large,8,NORMA-19219,44
text-embedding-3-large,8,NORMA-19238,45
text-embedding-3-large,8,NORMA-21652,46
text-embedding-3-large,8,NORMA-21016,47
text-embedding-3-large,8,NORMA-20428,48
text-embedding-3-large,8,NORMA-19662,49
text-embedding-3-large,8,NORMA-19530,50
text-embedding-3-large,9,NORMA-18280,1
text-embedding-3-large,9,NORMA-20302,2
text-embedding-3-large,9,NORMA-18871,3
text-embedding-3-large,9,NORMA-18271,4
text-embedding-3-large,9,NORMA-9959,5
text-embedding-3-large,9,NORMA-18351,6
text-embedding-3-large,9,NORMA-21774,7
text-embedding-3-large,9,NORMA-21120,8
text-embedding-3-large,9,NORMA-4849,9
text-embedding-3-large,9,NORMA-8269,10
text-embedding-3-large,9,NORMA-6222,11
text-embedding-3-large,9,NORMA-6489,12
text-embedding-3-large,9,NORMA-19186,13
text-embedding-3-large,9,NORMA-18790,14
text-embedding-3-large,9,NORMA-15029,15
text-embedding-3-large,9,NORMA-18745,16
text-embedding-3-large,9,NORMA-25101,17
text-embedding-3-large,9,NORMA-4102,18
text-embedding-3-large,9,NORMA-5890,19
text-embedding-3-large,9,NORMA-18242,20
text-embedding-3-large,9,NORMA-3541,21
text-embedding-3-large,9,NORMA-3966,22
text-embedding-3-large,9,NORMA-19167,23
text-embedding-3-large,9,NORMA-18460,24
text-embedding-3-large,9,NORMA-4195,25
text-embedding-3-large,9,NORMA-20845,26
text-embedding-3-large,9,NORMA-20894,27
text-embedding-3-large,9,NORMA-20626,28
text-embedding-3-large,9,NORMA-18801,29
text-embedding-3-large,9,NORMA-20731,30
text-embedding-3-large,9,NORMA-26881,31
text-embedding-3-large,9,NORMA-19925,32
text-embedding-3-large,9,NORMA-19811,33
text-embedding-3-large,9,NORMA-21418,34
text-embedding-3-large,9,NORMA-6555,35
text-embedding-3-large,9,NORMA-19088,36
text-embedding-3-large,9,NORMA-14709,37
text-embedding-3-large,9,NORMA-19939,38
text-embedding-3-large,9,NORMA-7646,39
text-embedding-3-large,9,NORMA-12786,40
text-embedding-3-large,9,NORMA-10243,41
text-embedding-3-large,9,NORMA-13481,42
text-embedding-3-large,9,NORMA-28141,43
text-embedding-3-large,9,NORMA-6629,44
text-embedding-3-large,9,NORMA-18906,45
text-embedding-3-large,9,NORMA-21697,46
text-embedding-3-large,9,NORMA-14727,47
text-embedding-3-large,9,NORMA-10495,48
text-embedding-3-large,9,NORMA-13733,49
text-embedding-3-large,9,NORMA-20437,50
text-embedding-3-large,10,NORMA-19961,1
text-embedding-3-large,10,NORMA-6968,2
text-embedding-3-large,10,NORMA-6176,3
text-embedding-3-large,10,NORMA-21344,4
text-embedding-3-large,10,NORMA-18910,5
text-embedding-3-large,10,NORMA-22862,6
text-embedding-3-large,10,NORMA-16424,7
text-embedding-3-large,10,NORMA-1445,8
text-embedding-3-large,10,NORMA-21497,9
text-embedding-3-large,10,NORMA-1114,10
text-embedding-3-large,10,NORMA-27161,11
text-embedding-3-large,10,NORMA-1248,12
text-embedding-3-large,10,NORMA-21703,13
text-embedding-3-large,10,NORMA-20922,14
text-embedding-3-large,10,NORMA-1470,15
text-embedding-3-large,10,NORMA-1374,16
text-embedding-3-large,10,NORMA-20990,17
text-embedding-3-large,10,NORMA-1164,18
text-embedding-3-large,10,NORMA-23101,19
text-embedding-3-large,10,NORMA-20901,20
text-embedding-3-large,10,NORMA-1296,21
text-embedding-3-large,10,NORMA-1192,22
text-embedding-3-large,10,NORMA-21649,23
text-embedding-3-large,10,NORMA-19972,24
text-embedding-3-large,10,NORMA-23361,25
text-embedding-3-large,10,NORMA-10298,26
text-embedding-3-large,10,NORMA-13610,27
text-embedding-3-large,10,NORMA-21700,28
text-embedding-3-large,10,NORMA-13795,29
text-embedding-3-large,10,NORMA-18741,30
text-embedding-3-large,10,NORMA-19982,31
text-embedding-3-large,10,NORMA-19000,32
text-embedding-3-large,10,NORMA-21638,33
text-embedding-3-large,10,NORMA-21269,34
text-embedding-3-large,10,NORMA-20887,35
text-embedding-3-large,10,NORMA-18211,36
text-embedding-3-large,10,NORMA-20790,37
text-embedding-3-large,10,NORMA-21709,38
text-embedding-3-large,10,NORMA-20879,39
text-embedding-3-large,10,NORMA-21706,40
text-embedding-3-large,10,NORMA-12437,41
text-embedding-3-large,10,NORMA-12965,42
text-embedding-3-large,10,NORMA-13990,43
text-embedding-3-large,10,NORMA-21402,44
text-embedding-3-large,10,NORMA-13402,45
text-embedding-3-large,10,NORMA-18994,46
text-embedding-3-large,10,NORMA-21475,47
text-embedding-3-large,10,NORMA-5380,48
text-embedding-3-large,10,NORMA-19698,49
text-embedding-3-large,10,NORMA-12490,50
text-embedding-3-large,11,NORMA-20977,1
text-embedding-3-large,11,NORMA-20293,2
text-embedding-3-large,11,NORMA-20696,3
text-embedding-3-large,11,NORMA-20528,4
text-embedding-3-large,11,NORMA-20507,5
text-embedding-3-large,11,NORMA-19797,6
text-embedding-3-large,11,NORMA-21716,7
text-embedding-3-large,11,NORMA-18441,8
text-embedding-3-large,11,NORMA-19733,9
text-embedding-3-large,11,NORMA-18713,10
text-embedding-3-large,11,NORMA-18765,11
text-embedding-3-large,11,NORMA-21018,12
text-embedding-3-large,11,NORMA-19079,13
text-embedding-3-large,11,NORMA-18778,14
text-embedding-3-large,11,NORMA-19166,15
text-embedding-3-large,11,NORMA-18449,16
text-embedding-3-large,11,NORMA-18358,17
text-embedding-3-large,11,NORMA-18408,18
text-embedding-3-large,11,NORMA-20422,19
text-embedding-3-large,11,NORMA-21051,20
text-embedding-3-large,11,NORMA-18779,21
text-embedding-3-large,11,NORMA-18705,22
text-embedding-3-large,11,NORMA-18467,23
text-embedding-3-large,11,NORMA-21042,24
text-embedding-3-large,11,NORMA-18833,25
text-embedding-3-large,11,NORMA-21620,26
text-embedding-3-large,11,NORMA-19531,27
text-embedding-3-large,11,NORMA-18471,28
text-embedding-3-large,11,NORMA-18571,29
text-embedding-3-large,11,NORMA-20357,30
text-embedding-3-large,11,NORMA-21307,31
text-embedding-3-large,11,NORMA-18296,32
text-embedding-3-large,11,NORMA-18987,33
text-embedding-3-large,11,NORMA-21112,34
text-embedding-3-large,11,NORMA-18305,35
text-embedding-3-large,11,NORMA-21146,36
text-embedding-3-large,11,NORMA-18209,37
text-embedding-3-large,11,NORMA-21088,38
text-embedding-3-large,11,NORMA-19002,39
text-embedding-3-large,11,NORMA-18402,40
text-embedding-3-large,11,NORMA-18283,41
text-embedding-3-large,11,NORMA-18374,42
text-embedding-3-large,11,NORMA-18679,43
text-embedding-3-large,11,NORMA-19302,44
text-embedding-3-large,11,NORMA-21340,45
text-embedding-3-large,11,NORMA-18758,46
text-embedding-3-large,11,NORMA-18749,47
text-embedding-3-large,11,NORMA-20191,48
text-embedding-3-large,11,NORMA-19049,49
text-embedding-3-large,11,NORMA-18726,50
text-embedding-3-large,13,NORMA-20201,1
text-embedding-3-large,13,NORMA-20199,2
text-embedding-3-large,13,NORMA-20709,3
text-embedding-3-large,13,NORMA-19105,4
text-embedding-3-large,13,NORMA-20421,5
text-embedding-3-large,13,NORMA-27001,6
text-embedding-3-large,13,NORMA-21729,7
text-embedding-3-large,13,NORMA-20700,8
text-embedding-3-large,13,NORMA-20708,9
text-embedding-3-large,13,NORMA-19445,10
text-embedding-3-large,13,NORMA-19799,11
text-embedding-3-large,13,NORMA-18576,12
text-embedding-3-large,13,NORMA-20203,13
text-embedding-3-large,13,NORMA-20582,14
text-embedding-3-large,13,NORMA-20200,15
text-embedding-3-large,13,NORMA-19228,16
text-embedding-3-large,13,NORMA-3925,17
text-embedding-3-large,13,NORMA-1571,18
text-embedding-3-large,13,NORMA-21393,19
text-embedding-3-large,13,NORMA-2385,20
text-embedding-3-large,13,NORMA-21140,21
text-embedding-3-large,13,NORMA-883,22
text-embedding-3-large,13,NORMA-23401,23
text-embedding-3-large,13,NORMA-2043,24
text-embedding-3-large,13,NORMA-21158,25
text-embedding-3-large,13,NORMA-18989,26
text-embedding-3-large,13,NORMA-2465,27
text-embedding-3-large,13,NORMA-19055,28
text-embedding-3-large,13,NORMA-20935,29
text-embedding-3-large,13,NORMA-19475,30
text-embedding-3-large,13,NORMA-20932,31
text-embedding-3-large,13,NORMA-14390,32
text-embedding-3-large,13,NORMA-19460,33
text-embedding-3-large,13,NORMA-5417,34
text-embedding-3-large,13,NORMA-20575,35
text-embedding-3-large,13,NORMA-19034,36
text-embedding-3-large,13,NORMA-2059,37
text-embedding-3-large,13,NORMA-2569,38
text-embedding-3-large,13,NORMA-8938,39
text-embedding-3-large,13,NORMA-616,40
text-embedding-3-large,13,NORMA-18221,41
text-embedding-3-large,13,NORMA-4926,42
text-embedding-3-large,13,NORMA-5853,43
text-embedding-3-large,13,NORMA-2086,44
text-embedding-3-large,13,NORMA-9457,45
text-embedding-3-large,13,NORMA-2588,46
text-embedding-3-large,13,NORMA-19351,47
text-embedding-3-large,13,NORMA-19145,48
text-embedding-3-large,13,NORMA-2084,49
text-embedding-3-large,13,NORMA-21517,50
text-embedding-3-large,14,NORMA-20248,1
text-embedding-3-large,14,NORMA-21065,2
text-embedding-3-large,14,NORMA-5925,3
text-embedding-3-large,14,NORMA-20198,4
text-embedding-3-large,14,NORMA-18673,5
text-embedding-3-large,14,NORMA-19616,6
text-embedding-3-large,14,NORMA-20730,7
text-embedding-3-large,14,NORMA-20704,8
text-embedding-3-large,14,NORMA-19691,9
text-embedding-3-large,14,NORMA-11668,10
text-embedding-3-large,14,NORMA-20702,11
text-embedding-3-large,14,NORMA-6782,12
text-embedding-3-large,14,NORMA-28623,13
text-embedding-3-large,14,NORMA-21390,14
text-embedding-3-large,14,NORMA-20713,15
text-embedding-3-large,14,NORMA-18211,16
text-embedding-3-large,14,NORMA-20729,17
text-embedding-3-large,14,NORMA-26381,18
text-embedding-3-large,14,NORMA-9803,19
text-embedding-3-large,14,NORMA-2588,20
text-embedding-3-large,14,NORMA-19240,21
text-embedding-3-large,14,NORMA-24581,22
text-embedding-3-large,14,NORMA-20223,23
text-embedding-3-large,14,NORMA-18748,24
text-embedding-3-large,14,NORMA-25882,25
text-embedding-3-large,14,NORMA-17381,26
text-embedding-3-large,14,NORMA-19583,27
text-embedding-3-large,14,NORMA-13001,28
text-embedding-3-large,14,NORMA-26581,29
text-embedding-3-large,14,NORMA-20405,30
text-embedding-3-large,14,NORMA-15863,31
text-embedding-3-large,14,NORMA-24083,32
text-embedding-3-large,14,NORMA-21241,33
text-embedding-3-large,14,NORMA-19581,34
